waktu,ax,ay,az,mean,rms,,label,,timestamp
5/4/2026 10:39,-0.79,-0.15,0.98,0.01,0.73,,1,,"10.173.63.72 - - [04/May/2026 10:39:35] ""POST /dataset HTTP/1.1"" 200 -"
5/4/2026 10:39,0.09,-0.17,1.08,0.33,0.63,,1,,"10.173.63.72 - - [04/May/2026 10:39:38] ""POST /dataset HTTP/1.1"" 200 -"
5/4/2026 10:39,0.2,-0.5,0.81,0.17,0.56,,1,,"10.173.63.72 - - [04/May/2026 10:39:40] ""POST /dataset HTTP/1.1"" 200 -"
5/4/2026 10:39,-0.94,-0.5,1.07,-0.12,0.87,,1,,"10.173.63.72 - - [04/May/2026 10:39:42] ""POST /dataset HTTP/1.1"" 200 -"
5/4/2026 10:39,0.3,-0.72,1.15,0.24,0.8,,1,,"10.173.63.72 - - [04/May/2026 10:39:45] ""POST /dataset HTTP/1.1"" 200 -"
5/4/2026 10:39,0.41,-0.25,0.95,0.37,0.61,,1,,"10.173.63.72 - - [04/May/2026 10:39:47] ""POST /dataset HTTP/1.1"" 200 -"
5/4/2026 10:39,0.87,-0.56,0.95,0.42,0.81,,1,,"10.173.63.72 - - [04/May/2026 10:39:49] ""POST /dataset HTTP/1.1"" 200 -"
5/4/2026 10:39,-0.94,-0.7,0.98,-0.22,0.88,,1,,"10.173.63.72 - - [04/May/2026 10:39:52] ""POST /dataset HTTP/1.1"" 200 -"
5/4/2026 10:39,-0.26,-0.35,0.87,0.09,0.56,,1,,"10.173.63.72 - - [04/May/2026 10:39:54] ""POST /dataset HTTP/1.1"" 200 -"
5/4/2026 10:39,-0.77,-0.53,0.99,-0.1,0.79,,1,,"10.173.63.72 - - [04/May/2026 10:39:57] ""POST /dataset HTTP/1.1"" 200 -"
5/4/2026 10:39,-0.41,0.93,1.04,0.52,0.84,,1,,"10.173.63.72 - - [04/May/2026 10:39:59] ""POST /dataset HTTP/1.1"" 200 -"
5/4/2026 10:40,-0.36,0.68,1.18,0.5,0.81,,1,,"10.173.63.72 - - [04/May/2026 10:40:01] ""POST /dataset HTTP/1.1"" 200 -"
5/4/2026 10:40,0.17,-0.45,1.02,0.25,0.65,,1,,"10.173.63.72 - - [04/May/2026 10:40:04] ""POST /dataset HTTP/1.1"" 200 -"
5/4/2026 10:40,0.01,-0.77,0.93,0.06,0.7,,1,,"10.173.63.72 - - [04/May/2026 10:40:07] ""POST /dataset HTTP/1.1"" 200 -"
5/4/2026 10:40,0.22,-0.35,0.82,0.23,0.53,,1,,"10.173.63.72 - - [04/May/2026 10:40:09] ""POST /dataset HTTP/1.1"" 200 -"
5/4/2026 10:40,-0.6,-0.73,0.99,-0.11,0.79,,1,,"10.173.63.72 - - [04/May/2026 10:40:12] ""POST /dataset HTTP/1.1"" 200 -"
5/4/2026 10:40,-0.94,-0.8,1.09,-0.22,0.95,,1,,"10.173.63.72 - - [04/May/2026 10:40:15] ""POST /dataset HTTP/1.1"" 200 -"
5/4/2026 10:40,0.18,-0.98,0.94,0.05,0.79,,1,,"10.173.63.72 - - [04/May/2026 10:40:17] ""POST /dataset HTTP/1.1"" 200 -"
5/4/2026 10:40,-0.85,0.41,1.05,0.2,0.82,,1,,"10.173.63.72 - - [04/May/2026 10:40:19] ""POST /dataset HTTP/1.1"" 200 -"
5/4/2026 10:40,0.33,-0.94,0.92,0.1,0.78,,1,,"10.173.63.72 - - [04/May/2026 10:40:21] ""POST /dataset HTTP/1.1"" 200 -"
5/4/2026 10:40,-0.61,0.09,1.12,0.2,0.74,,1,,"10.173.63.72 - - [04/May/2026 10:40:24] ""POST /dataset HTTP/1.1"" 200 -"
5/4/2026 10:40,-0.68,-0.33,0.96,-0.02,0.71,,1,,"10.173.63.72 - - [04/May/2026 10:40:26] ""POST /dataset HTTP/1.1"" 200 -"
5/4/2026 10:40,-0.33,-0.87,1.15,-0.02,0.85,,1,,"10.173.63.72 - - [04/May/2026 10:40:29] ""POST /dataset HTTP/1.1"" 200 -"
5/4/2026 10:40,-0.1,-0.52,0.93,0.1,0.62,,1,,"10.173.63.72 - - [04/May/2026 10:40:31] ""POST /dataset HTTP/1.1"" 200 -"
5/4/2026 10:40,0.57,0.55,0.85,0.66,0.67,,1,,"10.173.63.72 - - [04/May/2026 10:40:34] ""POST /dataset HTTP/1.1"" 200 -"
5/4/2026 10:40,0.8,-0.36,1.15,0.53,0.84,,1,,"10.173.63.72 - - [04/May/2026 10:40:36] ""POST /dataset HTTP/1.1"" 200 -"
5/4/2026 10:40,0.69,-0.18,1.18,0.56,0.8,,1,,"10.173.63.72 - - [04/May/2026 10:40:39] ""POST /dataset HTTP/1.1"" 200 -"
5/4/2026 10:40,0.3,0.63,0.97,0.63,0.69,,1,,"10.173.63.72 - - [04/May/2026 10:40:41] ""POST /dataset HTTP/1.1"" 200 -"
5/4/2026 10:40,-0.24,-0.98,0.91,-0.1,0.78,,1,,"10.173.63.72 - - [04/May/2026 10:40:43] ""POST /dataset HTTP/1.1"" 200 -"
5/4/2026 10:40,0.79,-0.08,0.96,0.56,0.72,,1,,"10.173.63.72 - - [04/May/2026 10:40:46] ""POST /dataset HTTP/1.1"" 200 -"
5/4/2026 10:40,-0.8,-0.24,1.03,0,0.77,,1,,"10.173.63.72 - - [04/May/2026 10:40:48] ""POST /dataset HTTP/1.1"" 200 -"
5/4/2026 10:40,0.61,-0.93,1.07,0.25,0.89,,1,,"10.173.63.72 - - [04/May/2026 10:40:51] ""POST /dataset HTTP/1.1"" 200 -"
5/4/2026 10:40,-0.16,-0.57,1.15,0.14,0.75,,1,,"10.173.63.72 - - [04/May/2026 10:40:53] ""POST /dataset HTTP/1.1"" 200 -"
5/4/2026 10:40,0.68,-0.76,0.97,0.3,0.81,,1,,"10.173.63.72 - - [04/May/2026 10:40:55] ""POST /dataset HTTP/1.1"" 200 -"
5/4/2026 10:40,0.87,0.82,1.03,0.91,0.91,,1,,"10.173.63.72 - - [04/May/2026 10:40:57] ""POST /dataset HTTP/1.1"" 200 -"
5/4/2026 10:41,0.08,-0.5,1,0.19,0.65,,1,,"10.173.63.72 - - [04/May/2026 10:41:00] ""POST /dataset HTTP/1.1"" 200 -"
5/4/2026 10:41,-0.28,-0.63,1.19,0.09,0.79,,1,,"10.173.63.72 - - [04/May/2026 10:41:03] ""POST /dataset HTTP/1.1"" 200 -"
5/4/2026 10:41,-0.24,-0.12,1.18,0.27,0.7,,1,,"10.173.63.72 - - [04/May/2026 10:41:06] ""POST /dataset HTTP/1.1"" 200 -"
5/4/2026 10:41,0.28,0.25,1.03,0.52,0.63,,1,,"10.173.63.72 - - [04/May/2026 10:41:08] ""POST /dataset HTTP/1.1"" 200 -"
5/4/2026 10:41,0.09,0.58,1.08,0.58,0.71,,1,,"10.173.63.72 - - [04/May/2026 10:41:10] ""POST /dataset HTTP/1.1"" 200 -"
5/4/2026 10:41,0.69,-0.18,0.86,0.46,0.65,,1,,"10.173.63.72 - - [04/May/2026 10:41:13] ""POST /dataset HTTP/1.1"" 200 -"
5/4/2026 10:41,-0.33,-0.44,1.12,0.12,0.72,,1,,"10.173.63.72 - - [04/May/2026 10:41:15] ""POST /dataset HTTP/1.1"" 200 -"
5/4/2026 10:41,0.5,-0.21,1.16,0.48,0.74,,1,,"10.173.63.72 - - [04/May/2026 10:41:18] ""POST /dataset HTTP/1.1"" 200 -"
5/4/2026 10:41,-0.64,-0.99,1.03,-0.2,0.9,,1,,"10.173.63.72 - - [04/May/2026 10:41:20] ""POST /dataset HTTP/1.1"" 200 -"
5/4/2026 10:41,-0.03,-0.33,0.88,0.17,0.54,,1,,"10.173.63.72 - - [04/May/2026 10:41:22] ""POST /dataset HTTP/1.1"" 200 -"
5/4/2026 10:41,0.91,0.15,1.15,0.74,0.85,,1,,"10.173.63.72 - - [04/May/2026 10:41:25] ""POST /dataset HTTP/1.1"" 200 -"
5/4/2026 10:41,0.19,-0.64,0.82,0.12,0.61,,1,,"10.173.63.72 - - [04/May/2026 10:41:28] ""POST /dataset HTTP/1.1"" 200 -"
5/4/2026 10:41,0.92,0.9,1.03,0.95,0.95,,1,,"10.173.63.72 - - [04/May/2026 10:41:30] ""POST /dataset HTTP/1.1"" 200 -"
5/4/2026 10:41,0.38,0.33,1.15,0.62,0.72,,1,,"10.173.63.72 - - [04/May/2026 10:41:32] ""POST /dataset HTTP/1.1"" 200 -"
5/4/2026 10:41,0.7,0.16,1.17,0.68,0.79,,1,,"10.173.63.72 - - [04/May/2026 10:41:35] ""POST /dataset HTTP/1.1"" 200 -"
5/4/2026 10:41,-0.62,0.1,1,0.16,0.68,,1,,"10.173.63.72 - - [04/May/2026 10:41:41] ""POST /dataset HTTP/1.1"" 200 -"
5/4/2026 10:41,0.08,-0.27,1.19,0.33,0.71,,1,,"10.173.63.72 - - [04/May/2026 10:41:44] ""POST /dataset HTTP/1.1"" 200 -"
5/4/2026 10:41,-0.63,-0.13,1.17,0.14,0.77,,1,,"10.173.63.72 - - [04/May/2026 10:41:47] ""POST /dataset HTTP/1.1"" 200 -"
5/4/2026 10:41,-0.99,-0.64,1.19,-0.15,0.97,,1,,"10.173.63.72 - - [04/May/2026 10:41:50] ""POST /dataset HTTP/1.1"" 200 -"
5/4/2026 10:41,0.47,-0.2,0.92,0.4,0.61,,1,,"10.173.63.72 - - [04/May/2026 10:41:52] ""POST /dataset HTTP/1.1"" 200 -"
5/4/2026 10:41,0.51,-0.29,0.8,0.34,0.57,,1,,"10.173.63.72 - - [04/May/2026 10:41:55] ""POST /dataset HTTP/1.1"" 200 -"
5/4/2026 10:41,0.93,0.68,1.02,0.88,0.89,,1,,"10.173.63.72 - - [04/May/2026 10:41:57] ""POST /dataset HTTP/1.1"" 200 -"
5/4/2026 10:42,0.79,-0.68,0.88,0.33,0.79,,1,,"10.173.63.72 - - [04/May/2026 10:42:00] ""POST /dataset HTTP/1.1"" 200 -"
5/4/2026 10:42,-0.92,0.23,0.88,0.06,0.75,,1,,"10.173.63.72 - - [04/May/2026 10:42:03] ""POST /dataset HTTP/1.1"" 200 -"
5/4/2026 10:42,-0.67,-0.24,1.08,0.06,0.75,,1,,"10.173.63.72 - - [04/May/2026 10:42:05] ""POST /dataset HTTP/1.1"" 200 -"
5/4/2026 10:42,0.39,-0.06,1.13,0.49,0.69,,1,,"10.173.63.72 - - [04/May/2026 10:42:08] ""POST /dataset HTTP/1.1"" 200 -"
5/4/2026 10:42,0.46,-0.95,1.09,0.2,0.88,,1,,"10.173.63.72 - - [04/May/2026 10:42:11] ""POST /dataset HTTP/1.1"" 200 -"
5/4/2026 10:42,0.04,-0.41,1.15,0.26,0.71,,1,,"10.173.63.72 - - [04/May/2026 10:42:14] ""POST /dataset HTTP/1.1"" 200 -"
5/4/2026 10:42,-0.79,-0.15,1.01,0.02,0.75,,1,,"10.173.63.72 - - [04/May/2026 10:42:17] ""POST /dataset HTTP/1.1"" 200 -"
5/4/2026 10:42,0.67,-0.65,0.91,0.31,0.75,,1,,"10.173.63.72 - - [04/May/2026 10:42:20] ""POST /dataset HTTP/1.1"" 200 -"
5/4/2026 10:42,0.79,-0.73,1.09,0.38,0.88,,1,,"10.173.63.72 - - [04/May/2026 10:42:22] ""POST /dataset HTTP/1.1"" 200 -"
5/4/2026 10:42,-1,-0.31,0.88,-0.14,0.79,,1,,"10.173.63.72 - - [04/May/2026 10:42:25] ""POST /dataset HTTP/1.1"" 200 -"
5/4/2026 10:42,0.91,0.64,0.86,0.8,0.81,,1,,"10.173.63.72 - - [04/May/2026 10:42:28] ""POST /dataset HTTP/1.1"" 200 -"
5/4/2026 10:42,-0.61,0.77,1.18,0.45,0.89,,1,,"10.173.63.72 - - [04/May/2026 10:42:30] ""POST /dataset HTTP/1.1"" 200 -"
5/4/2026 10:42,-0.47,-0.16,0.86,0.08,0.57,,1,,"10.173.63.72 - - [04/May/2026 10:42:33] ""POST /dataset HTTP/1.1"" 200 -"
5/4/2026 10:42,0.65,0.33,0.97,0.65,0.7,,1,,"10.173.63.72 - - [04/May/2026 10:42:36] ""POST /dataset HTTP/1.1"" 200 -"
5/4/2026 10:42,-0.38,-0.29,1.12,0.15,0.7,,1,,"10.173.63.72 - - [04/May/2026 10:42:39] ""POST /dataset HTTP/1.1"" 200 -"
5/4/2026 10:42,0.48,0.76,1.08,0.77,0.81,,1,,"10.173.63.72 - - [04/May/2026 10:42:42] ""POST /dataset HTTP/1.1"" 200 -"
5/4/2026 10:42,0.07,-0.99,1.12,0.07,0.86,,1,,"10.173.63.72 - - [04/May/2026 10:42:45] ""POST /dataset HTTP/1.1"" 200 -"
5/4/2026 10:42,0.27,-0.43,0.88,0.24,0.59,,1,,"10.173.63.72 - - [04/May/2026 10:42:47] ""POST /dataset HTTP/1.1"" 200 -"
5/4/2026 10:42,-0.96,0.09,1.11,0.08,0.85,,1,,"10.173.63.72 - - [04/May/2026 10:42:50] ""POST /dataset HTTP/1.1"" 200 -"
5/4/2026 10:42,-0.52,-0.56,1.08,0,0.76,,1,,"10.173.63.72 - - [04/May/2026 10:42:53] ""POST /dataset HTTP/1.1"" 200 -"
5/4/2026 10:42,0.08,-0.15,1.16,0.36,0.68,,1,,"10.173.63.72 - - [04/May/2026 10:42:56] ""POST /dataset HTTP/1.1"" 200 -"
5/4/2026 10:42,0.52,0.22,1.1,0.61,0.71,,1,,"10.173.63.72 - - [04/May/2026 10:42:59] ""POST /dataset HTTP/1.1"" 200 -"
5/4/2026 10:43,0.51,0.44,1.07,0.67,0.73,,1,,"10.173.63.72 - - [04/May/2026 10:43:01] ""POST /dataset HTTP/1.1"" 200 -"
5/4/2026 10:43,-0.89,0.76,1.03,0.3,0.9,,1,,"10.173.63.72 - - [04/May/2026 10:43:04] ""POST /dataset HTTP/1.1"" 200 -"
5/4/2026 10:43,0.42,0.51,1.01,0.65,0.7,,1,,"10.173.63.72 - - [04/May/2026 10:43:07] ""POST /dataset HTTP/1.1"" 200 -"
5/4/2026 10:43,0.05,0.43,1.12,0.53,0.69,,1,,"10.173.63.72 - - [04/May/2026 10:43:09] ""POST /dataset HTTP/1.1"" 200 -"
5/4/2026 10:43,-0.41,0.37,1.08,0.35,0.7,,1,,"10.173.63.72 - - [04/May/2026 10:43:15] ""POST /dataset HTTP/1.1"" 200 -"
5/4/2026 10:43,0.1,-0.55,0.82,0.12,0.57,,1,,"10.173.63.72 - - [04/May/2026 10:43:18] ""POST /dataset HTTP/1.1"" 200 -"
5/4/2026 10:43,-0.63,-0.06,1.1,0.14,0.73,,1,,"10.173.63.72 - - [04/May/2026 10:43:24] ""POST /dataset HTTP/1.1"" 200 -"
5/4/2026 10:43,-0.09,-0.12,1.16,0.32,0.68,,1,,"10.173.63.72 - - [04/May/2026 10:43:27] ""POST /dataset HTTP/1.1"" 200 -"
5/4/2026 10:43,0.57,-0.79,1.07,0.28,0.84,,1,,"10.173.63.72 - - [04/May/2026 10:43:29] ""POST /dataset HTTP/1.1"" 200 -"
5/4/2026 10:43,0.36,0.65,1,0.67,0.72,,1,,"10.173.63.72 - - [04/May/2026 10:43:32] ""POST /dataset HTTP/1.1"" 200 -"
5/4/2026 10:43,-0.28,0.97,1.14,0.61,0.88,,1,,"10.173.63.72 - - [04/May/2026 10:43:35] ""POST /dataset HTTP/1.1"" 200 -"
5/4/2026 10:43,0.25,-0.6,1.11,0.25,0.74,,1,,"10.173.63.72 - - [04/May/2026 10:43:38] ""POST /dataset HTTP/1.1"" 200 -"
5/4/2026 10:43,-0.56,-0.51,0.91,-0.05,0.68,,1,,"10.173.63.72 - - [04/May/2026 10:43:41] ""POST /dataset HTTP/1.1"" 200 -"
5/4/2026 10:43,0.03,-0.36,0.86,0.18,0.54,,1,,"10.173.63.72 - - [04/May/2026 10:43:43] ""POST /dataset HTTP/1.1"" 200 -"
5/4/2026 10:43,0.03,0.46,0.87,0.45,0.57,,1,,"10.173.63.72 - - [04/May/2026 10:43:46] ""POST /dataset HTTP/1.1"" 200 -"
5/4/2026 10:43,0.93,-0.48,1.04,0.5,0.85,,1,,"10.173.63.72 - - [04/May/2026 10:43:48] ""POST /dataset HTTP/1.1"" 200 -"
5/4/2026 10:43,0.94,0.28,1.11,0.78,0.86,,1,,"10.173.63.72 - - [04/May/2026 10:43:51] ""POST /dataset HTTP/1.1"" 200 -"
5/4/2026 10:43,-1,-0.44,1.03,-0.14,0.87,,1,,"10.173.63.72 - - [04/May/2026 10:43:53] ""POST /dataset HTTP/1.1"" 200 -"
5/4/2026 10:43,-0.61,0.8,1.15,0.45,0.88,,1,,"10.173.63.72 - - [04/May/2026 10:43:56] ""POST /dataset HTTP/1.1"" 200 -"
5/4/2026 10:43,-0.92,0.42,0.96,0.15,0.81,,1,,"10.173.63.72 - - [04/May/2026 10:43:59] ""POST /dataset HTTP/1.1"" 200 -"
5/4/2026 10:44,-0.21,0.96,0.91,0.55,0.77,,1,,"10.173.63.72 - - [04/May/2026 10:44:02] ""POST /dataset HTTP/1.1"" 200 -"
5/4/2026 10:44,-0.62,0.54,1,0.31,0.75,,1,,"10.173.63.72 - - [04/May/2026 10:44:04] ""POST /dataset HTTP/1.1"" 200 -"
5/4/2026 10:44,0.63,-0.95,1.12,0.27,0.92,,1,,"10.173.63.72 - - [04/May/2026 10:44:07] ""POST /dataset HTTP/1.1"" 200 -"
5/4/2026 10:44,0.34,-0.75,1.11,0.23,0.8,,1,,"10.173.63.72 - - [04/May/2026 10:44:10] ""POST /dataset HTTP/1.1"" 200 -"
5/4/2026 10:44,-0.14,0.95,0.86,0.56,0.74,,1,,"10.173.63.72 - - [04/May/2026 10:44:12] ""POST /dataset HTTP/1.1"" 200 -"
5/4/2026 10:44,0.38,0.05,1.04,0.49,0.64,,1,,"10.173.63.72 - - [04/May/2026 10:44:15] ""POST /dataset HTTP/1.1"" 200 -"
5/4/2026 10:44,-0.36,0.42,0.83,0.3,0.58,,1,,"10.173.63.72 - - [04/May/2026 10:44:18] ""POST /dataset HTTP/1.1"" 200 -"
5/4/2026 10:44,-0.04,-0.02,1.13,0.36,0.65,,1,,"10.173.63.72 - - [04/May/2026 10:44:20] ""POST /dataset HTTP/1.1"" 200 -"
5/4/2026 10:44,0.99,-0.36,0.8,0.48,0.76,,1,,"10.173.63.72 - - [04/May/2026 10:44:26] ""POST /dataset HTTP/1.1"" 200 -"
5/4/2026 10:44,-0.77,-0.4,1.1,-0.02,0.81,,1,,"10.173.63.72 - - [04/May/2026 10:44:28] ""POST /dataset HTTP/1.1"" 200 -"
5/4/2026 10:44,0.34,0.9,0.96,0.73,0.78,,1,,"10.173.63.72 - - [04/May/2026 10:44:31] ""POST /dataset HTTP/1.1"" 200 -"
5/4/2026 10:44,-0.17,-0.17,0.86,0.17,0.52,,1,,"10.173.63.72 - - [04/May/2026 10:44:34] ""POST /dataset HTTP/1.1"" 200 -"
5/4/2026 10:44,0.15,-0.32,0.85,0.23,0.53,,1,,"10.173.63.72 - - [04/May/2026 10:44:36] ""POST /dataset HTTP/1.1"" 200 -"
5/4/2026 10:44,-0.97,-0.76,1.16,-0.19,0.98,,1,,"10.173.63.72 - - [04/May/2026 10:44:38] ""POST /dataset HTTP/1.1"" 200 -"
5/4/2026 10:44,0.38,-0.02,1.18,0.51,0.72,,1,,"10.173.63.72 - - [04/May/2026 10:44:41] ""POST /dataset HTTP/1.1"" 200 -"
5/4/2026 10:44,-0.45,0.12,1.09,0.25,0.68,,1,,"10.173.63.72 - - [04/May/2026 10:44:44] ""POST /dataset HTTP/1.1"" 200 -"
5/4/2026 10:44,0.17,0.96,1.04,0.72,0.82,,1,,"10.173.63.72 - - [04/May/2026 10:44:46] ""POST /dataset HTTP/1.1"" 200 -"
5/4/2026 10:44,-0.39,0.16,0.9,0.22,0.57,,1,,"10.173.63.72 - - [04/May/2026 10:44:48] ""POST /dataset HTTP/1.1"" 200 -"
5/4/2026 10:44,-0.04,0.7,1.06,0.57,0.73,,1,,"10.173.63.72 - - [04/May/2026 10:44:50] ""POST /dataset HTTP/1.1"" 200 -"
5/4/2026 10:44,-0.28,0.47,0.84,0.34,0.58,,1,,"10.173.63.72 - - [04/May/2026 10:44:53] ""POST /dataset HTTP/1.1"" 200 -"
5/4/2026 10:44,-0.34,0.16,1.05,0.29,0.64,,1,,"10.173.63.72 - - [04/May/2026 10:44:56] ""POST /dataset HTTP/1.1"" 200 -"
5/4/2026 10:44,0.13,-0.16,1.12,0.36,0.66,,1,,"10.173.63.72 - - [04/May/2026 10:44:58] ""POST /dataset HTTP/1.1"" 200 -"
5/4/2026 10:45,0.22,0.31,1.06,0.53,0.65,,1,,"10.173.63.72 - - [04/May/2026 10:45:01] ""POST /dataset HTTP/1.1"" 200 -"
5/4/2026 10:45,-0.24,-0.26,1.13,0.21,0.68,,1,,"10.173.63.72 - - [04/May/2026 10:45:04] ""POST /dataset HTTP/1.1"" 200 -"
5/4/2026 10:45,0.9,-0.64,0.81,0.36,0.79,,1,,"10.173.63.72 - - [04/May/2026 10:45:07] ""POST /dataset HTTP/1.1"" 200 -"
5/4/2026 10:45,-0.71,0.38,0.83,0.17,0.67,,1,,"10.173.63.72 - - [04/May/2026 10:45:10] ""POST /dataset HTTP/1.1"" 200 -"
5/4/2026 10:45,-0.31,-0.79,0.91,-0.06,0.72,,1,,"10.173.63.72 - - [04/May/2026 10:45:12] ""POST /dataset HTTP/1.1"" 200 -"
5/4/2026 10:45,0.15,-0.48,0.97,0.21,0.63,,1,,"10.173.63.72 - - [04/May/2026 10:45:15] ""POST /dataset HTTP/1.1"" 200 -"
5/4/2026 10:45,-0.26,-0.1,1.19,0.28,0.71,,1,,"10.173.63.72 - - [04/May/2026 10:45:17] ""POST /dataset HTTP/1.1"" 200 -"
5/4/2026 10:45,0.07,0.19,0.81,0.36,0.48,,1,,"10.173.63.72 - - [04/May/2026 10:45:19] ""POST /dataset HTTP/1.1"" 200 -"
5/4/2026 10:45,0.8,0.02,1.03,0.62,0.75,,1,,"10.173.63.72 - - [04/May/2026 10:45:22] ""POST /dataset HTTP/1.1"" 200 -"
5/4/2026 10:45,0.62,0.2,0.97,0.6,0.67,,1,,"10.173.63.72 - - [04/May/2026 10:45:25] ""POST /dataset HTTP/1.1"" 200 -"
5/4/2026 10:45,-0.84,0.38,0.92,0.15,0.75,,1,,"10.173.63.72 - - [04/May/2026 10:45:28] ""POST /dataset HTTP/1.1"" 200 -"
5/4/2026 10:45,0.04,0.28,1.12,0.48,0.67,,1,,"10.173.63.72 - - [04/May/2026 10:45:30] ""POST /dataset HTTP/1.1"" 200 -"
5/4/2026 10:45,0.7,0.66,1,0.79,0.8,,1,,"10.173.63.72 - - [04/May/2026 10:45:33] ""POST /dataset HTTP/1.1"" 200 -"
5/4/2026 10:45,0.08,0.6,1.05,0.58,0.7,,1,,"10.173.63.72 - - [04/May/2026 10:45:36] ""POST /dataset HTTP/1.1"" 200 -"
5/4/2026 10:45,-0.7,-0.55,1.07,-0.06,0.8,,1,,"10.173.63.72 - - [04/May/2026 10:45:38] ""POST /dataset HTTP/1.1"" 200 -"
5/4/2026 10:45,0.21,0.17,1.03,0.47,0.61,,1,,"10.173.63.72 - - [04/May/2026 10:45:41] ""POST /dataset HTTP/1.1"" 200 -"
5/4/2026 10:45,0.02,-0.19,0.82,0.22,0.49,,1,,"10.173.63.72 - - [04/May/2026 10:45:43] ""POST /dataset HTTP/1.1"" 200 -"
5/4/2026 10:45,0.3,0.04,1.18,0.51,0.7,,1,,"10.173.63.72 - - [04/May/2026 10:45:46] ""POST /dataset HTTP/1.1"" 200 -"
5/4/2026 10:45,-0.11,-0.89,0.95,-0.02,0.75,,1,,"10.173.63.72 - - [04/May/2026 10:45:48] ""POST /dataset HTTP/1.1"" 200 -"
